WORD	ORIG	RATIO=B2/SUM(B:B)*11451419
自由	10470	3831
訂購	10429	3816
密碼	10396	3804
優惠價	10336	3782
下午	10325	3778
推動	10315	3775
全國	10309	3772
連結	10308	3772
完全	10302	3770
保護	10266	3757
不能	10231	3744
及其	10213	3737
兩岸	10176	3724
決定	10151	3715
理財	10151	3715
這裏	10062	3682
食品	10008	3662
真的	10008	3662
應該	9893	3620
登記	9887	3618
團體	9874	3613
接受	9800	3586
機會	9797	3585
爲什麼	9792	3583
上頁	9770	3575
本校	9747	3567
符合	9740	3564
客戶	9711	3554
加強	9699	3549
交易	9658	3534
大成	9638	3527
大城	9638	3527
台南縣	9627	3523
連絡	9607	3516
訪客	9605	3515
第十	9581	3506
建設	9553	3496
協助	9545	3493
同業公會	9543	3492
成功	9536	3490
清單	9492	3473
出口	9490	3473
線上	9481	3469
快速	9480	3469
獻上	9480	3469
情形	9472	3466
相當	9461	3462
中共	9449	3458
國中	9448	3457
業者	9406	3442
繼續	9404	3441
範圍	9374	3430
財務	9370	3429
財物	9369	3428
綜合	9365	3427
解決	9364	3427
航空	9362	3426
民衆	9359	3425
飯店	9353	3423
傳統	9351	3422
資本額	9347	3420
選舉	9344	3419
人數	9339	3417
檢查	9339	3417
要聞	9330	3414
支持	9318	3410
測試	9318	3410
認識	9317	3409
故事	9305	3405
推出	9299	3403
漁業	9294	3401
確定	9276	3394
了解	9268	3391
數位	9266	3391
五年	9243	3382
國民小學	9237	3380
國外	9231	3378
我是	9230	3378
全部	9228	3377
高中	9220	3374
計劃	9208	3370
論壇	9195	3365
區域	9172	3356
百萬	9161	3352
生物	9152	3349
引擎	9123	3338
畢業	9120	3337
出版社	9109	3333
可是	9094	3328
展開	9085	3325
部分	9069	3319
編輯	9066	3318
編輯器	9066	3318
商品	9043	3309
最大	9030	3304
一樣	9025	3303
整合	9014	3299
或是	8999	3293
博士	8999	3293
交通	8992	3290
化學	8960	3279
展示	8954	3277
特殊	8953	3276
性質	8945	3273
所屬	8919	3264
其實	8902	3258
事項	8900	3257
藝文	8847	3237
版本	8831	3232
負責人	8816	3226
總統	8804	3222
失望	8780	3213
開放	8780	3213
論文	8736	3197
櫃台	8687	3179
諮詢	8674	3174
來自	8668	3172
一段	8654	3167
一斷	8653	3166
教育部	8625	3156
格式	8616	3153
那麼	8597	3146
購物	8592	3144
研討會	8592	3144
一年	8581	3140
你們	8577	3139
操作	8570	3136
雲林縣	8557	3131
鍼對	8550	3129
國民黨	8545	3127
台中市	8520	3118
硬體	8519	3117
基金會	8508	3113
主任	8494	3108
下列	8483	3104
策略	8479	3103
如此	8451	3093
另外	8443	3090
各項	8425	3083
衛生	8416	3080
過程	8384	3068
纔能	8384	3068
預算	8365	3061
同學	8353	3057
不會	8286	3032
語言	8276	3028
目的	8272	3027
維士比	8267	3025
貿易	8250	3019
屏東縣	8246	3017
招標	8222	3009
行情	8217	3007
取得	8216	3007
苗栗縣	8214	3006
甚至	8206	3003
超級	8194	2998
總會	8188	2996
然後	8186	2996
電信	8176	2992
不得	8161	2986
怎麼	8149	2982
即可	8140	2979
安裝	8137	2978
期刊	8069	2953
推廣	8058	2949
獲得	8047	2945
制度	8026	2937
通過	8021	2935
薄識	8000	2927
作爲	7992	2925
負責	7990	2924
特色	7984	2922
圖片	7978	2919
園地	7960	2913
北縣	7958	2912
結構	7950	2909
初版	7943	2907
十七	7941	2906
修正	7925	2900
記者	7919	2898
至於	7916	2897
發言	7913	2896
發炎	7912	2895
當然	7912	2895
根據	7897	2890
成果	7870	2880
上午	7856	2875
位置	7841	2869
改善	7829	2865
考試	7810	2858
積極	7807	2857
三年	7786	2849
舉辦	7776	2846
亞洲	7767	2842
現況	7745	2834
我想	7742	2833
實驗	7728	2828
視窗	7721	2825
行爲	7717	2824
全文	7716	2824
台南	7709	2821
民進黨	7702	2818
原地	7691	2814
記錄	7681	2811
評估	7647	2798
能夠	7641	2796
視聽	7631	2792
試聽	7630	2792
話題	7617	2787
規格	7607	2784
人類	7601	2781
專題	7601	2781
女性	7594	2779
工作室	7590	2777
員工	7585	2776
版權所有	7582	2775
北市	7579	2773
狀況	7579	2773
校園	7530	2755
大小	7522	2753
相信	7512	2749
七十	7501	2745
模式	7500	2745
上市	7496	2743
袋子	7495	2743
上士	7490	2741
校長	7471	2734
法律	7450	2726
基礎	7434	2720
條件	7430	2719
之間	7387	2703
學會	7386	2703
南投縣	7384	2702
銷售	7374	2698
心情	7366	2695
經費	7353	2691
情況	7349	2689
私立	7330	2682
原因	7321	2679
事件	7320	2679
經過	7319	2678
三十	7295	2669
過去	7290	2668
行動	7272	2661
股票	7267	2659
表現	7267	2659
之一	7259	2656
對象	7258	2656
萬元	7250	2653
採購	7249	2653
資格	7249	2653
動態	7248	2652
孩子	7243	2650
台南市	7223	2643
加上	7221	2642
解答	7221	2642
照片	7208	2638
爲何	7202	2635
擁有	7182	2628
專案	7180	2627
十二月	7161	2620
有效	7158	2619
超過	7138	2612
例如	7132	2610
請按	7132	2610
期間	7123	2607
時候	7103	2599
聯盟	7097	2597
發行	7088	2594
詳細	7079	2590
教材	7072	2588
行銷	7057	2582
趨勢	7049	2579
閱讀	7044	2578
表列	7038	2575
精神	7031	2573
一層	7021	2569
學院	7012	2566
時代	7008	2564
學期	6998	2561
聯合	6996	2560
實驗室	6995	2560
小組	6994	2559
修改	6989	2558
新竹	6986	2556
也有	6980	2554
委員	6980	2554
臺北	6966	2549
簡報	6965	2549
屬於	6962	2548
半導體	6960	2547
準備	6953	2544
調整	6952	2544
電玩	6944	2541
一直	6917	2531
常見	6907	2528
大樓	6873	2515
理論	6867	2513
星座	6863	2511
俱樂部	6846	2505
動物	6831	2500
縣市	6830	2499
容易	6821	2496
當時	6813	2493
感謝	6810	2492
我有	6806	2491
反應	6804	2490
並且	6791	2485
效果	6777	2480
掛號	6777	2480
依據	6776	2480
程序	6751	2470
興趣	6750	2470
方案	6742	2467
每月	6733	2464
實際	6733	2464
污染	6730	2463
註冊	6715	2457
看看	6704	2453
減少	6700	2452
工廠	6698	2451
工場	6697	2451
一位	6686	2447
一點	6680	2444
有些	6670	2441
分別	6663	2438
一定	6638	2429
十二	6624	2424
改變	6622	2423
科目	6618	2422
馬英九	6608	2418
連線	6605	2417
世紀	6603	2416
法規	6602	2416
使得	6573	2405
海外	6551	2397
集團	6543	2394
計算	6528	2389
一篇	6525	2388
農業	6516	2384
數量	6515	2384
站長	6514	2384
成績	6503	2380
一日	6486	2373
中山路	6483	2372
委託	6480	2371
定價	6476	2370
經由	6471	2368
平均	6468	2367
十月	6459	2364
指導	6456	2362
報名	6452	2361
以後	6448	2360
適合	6440	2357
代理	6433	2354
海洋	6433	2354
攝影	6422	2350
工商時報	6420	2349
並不	6393	2339
結合	6385	2336
小時	6375	2333
努力	6374	2332
重新	6371	2331
重製	6371	2331
手冊	6370	2331
主管機關	6369	2331
師資	6355	2326
以前	6347	2323
設置	6340	2320
消費者	6337	2319
台大	6334	2318
婦女	6332	2317
研發	6327	2315
現代	6327	2315
職業	6326	2315
補助	6302	2306
一起	6289	2301
速度	6289	2301
感覺	6281	2298
實習	6280	2298
方向	6278	2297
年代	6275	2296
明年	6272	2295
強調	6269	2294
如下	6267	2293
在此	6262	2291
另一	6261	2291
正確	6255	2289
費用	6255	2289
製造業	6253	2288
這麼	6207	2271
原則	6204	2270
七月	6202	2270
避免	6194	2267
流行	6175	2260
是在	6173	2259
本會	6160	2254
星期五	6151	2251
主管	6149	2250
運用	6125	2241
指出	6115	2238
帳號	6111	2236
圖形	6108	2235
持續	6105	2234
九月	6097	2231
人物	6094	2230
電視	6092	2229
回信	6090	2229
真正	6079	2225
第一次	6066	2220
會計	6061	2218
星期一	6059	2217
危機	6041	2211
第四	6041	2211
中正	6036	2209
疾病	6035	2208
蔘觀	6029	2206
東西	6024	2204
比賽	6020	2203
自行	6011	2200
顧問	6003	2197
維基	6000	2196
一切	5997	2195
探討	5976	2187
英國	5948	2177
領域	5948	2177
市長	5945	2175
然而	5943	2175
空氣	5939	2173
從事	5938	2173
來源	5914	2164
嘉義縣	5911	2163
一封	5906	2161
病毒	5905	2161
專家	5898	2158
四年	5897	2158
品牌	5895	2157
那些	5893	2156
哪些	5893	2156
中國時報	5877	2151
星期四	5863	2145
五十	5857	2143
摘要	5856	2143
星期三	5849	2140
候選人	5845	2139
公共	5838	2136
文學	5835	2135
整個	5823	2131
房屋	5817	2129
物理	5811	2126
提高	5809	2126
每年	5808	2125
中正路	5807	2125
知識	5797	2121
小姐	5788	2118
立委	5778	2114
最高	5775	2113
採用	5752	2105
快樂	5749	2104
漫畫	5729	2096
設施	5725	2095
限制	5724	2095
器材	5715	2091
試驗	5711	2090
每日	5704	2087
障礙	5702	2087
聲音	5700	2086
十一月	5696	2084
人纔	5694	2084
人力	5690	2082
商用	5681	2079
都有	5666	2073
站台	5664	2073
星期二	5663	2072
舉行	5657	2070
得到	5655	2069
慈濟	5648	2067
整體	5647	2066
達到	5643	2065
本身	5637	2063
花蓮	5630	2060
歐洲	5620	2057
這次	5610	2053
星期六	5609	2053
組合	5600	2049
電機	5600	2049
嚴重	5593	2047
言重	5592	2046
完整	5590	2046
嘉義	5575	2040
設立	5571	2039
關鍵	5570	2038
高級	5565	2036
經濟部	5565	2036
現象	5556	2033
十六	5550	2031
八月	5546	2029
好像	5545	2029
所需	5542	2028
審查	5541	2028
二段	5537	2026
財團法人	5502	2013
節目	5500	2013
自動化	5500	2013
指南	5497	2012
找到	5493	2010
植物	5489	2009
勞工	5488	2008
同意	5478	2005
同義	5477	2004
形成	5471	2002
行程	5470	2002
國民	5460	1998
唱片	5456	1997
觀光	5454	1996
選購	5427	1986
塑膠	5420	1983
就業	5416	1982
本公司	5407	1979
臺灣省	5407	1979
動畫	5406	1978
之前	5400	1976
新書	5392	1973
公開	5385	1971
名單	5374	1967
一百	5367	1964
考慮	5365	1963
分享	5347	1957
正常	5337	1953
面對	5321	1947
幫助	5316	1945
數學	5313	1944
令人	5312	1944
檢驗	5295	1938
印刷	5272	1929
整理	5269	1928
就會	5268	1928
心理	5267	1927
心裏	5267	1927
重點	5266	1927
階段	5265	1927
新竹市	5263	1926
全力	5261	1925
權力	5260	1925
權利	5260	1925
上述	5259	1924
六月	5236	1916
位於	5234	1915
輔助	5225	1912
簡單	5194	1901
變化	5191	1900
花蓮縣	5186	1898
廣場	5176	1894
那個	5167	1891
哪個	5167	1891
引起	5165	1890
玩家	5165	1890
爲主	5164	1890
伺服	5158	1887
連續	5157	1887
生態	5152	1885
全民	5147	1883
結束	5137	1880
長期	5129	1877
病人	5125	1875
優惠	5124	1875
保健	5119	1873
保薦	5118	1873
通信	5118	1873
寶劍	5118	1873
寶鑑	5118	1873
青年	5114	1871
更多	5113	1871
百分	5100	1866
檢視	5095	1864
德國	5094	1864
獨立	5088	1862
公佈	5077	1858
餐廳	5072	1856
八年	5059	1851
社會新聞	5053	1849
人事	5038	1844
架構	5038	1844
人士	5037	1843
人世	5037	1843
錯誤	5034	1842
新竹縣	5025	1839
身體	5015	1835
三月	5013	1834
於是	5009	1833
一天	5007	1832
號碼	5002	1830
她的	5001	1830
人氏	5000	1830
重置	5000	1830
各國	4998	1829
都會	4991	1826
跟隨	4991	1826
想要	4981	1823
人民	4978	1822
支出	4972	1819
光臨	4969	1818
而言	4969	1818
五月	4968	1818
也可以	4965	1817
真是	4964	1816
成本	4963	1816
內部	4962	1816
宜蘭縣	4951	1812
創造	4950	1811
螢幕	4948	1811
通知	4947	1810
桃園	4945	1810
桃源	4945	1810
培養	4945	1810
檢討	4934	1806
維持	4933	1805
原住民	4913	1798
促進	4911	1797
演講	4909	1796
不可	4901	1793
方便	4899	1793
六十	4896	1792
特性	4894	1791
競爭	4888	1789
不知道	4886	1788
消息	4882	1786
同志	4877	1785
似乎	4876	1784
本書	4873	1783
則是	4867	1781
台灣地區	4862	1779
不錯	4858	1778
指標	4852	1776
交友	4844	1773
得獎	4843	1772
女人	4841	1771
因素	4840	1771
概況	4839	1771
動作	4834	1769
前往	4827	1766
十分	4826	1766
壓力	4825	1766
嘉義市	4824	1765
碩士	4819	1763
碩博士	4819	1763
星期日	4817	1763
月份	4816	1762
每天	4816	1762
鼓勵	4808	1759
股利	4807	1759
相同	4806	1759
學者	4800	1756
各類	4798	1756
本文	4797	1755
否則	4793	1754
機車	4792	1754
民間	4788	1752
如有	4778	1748
荷蘭	4767	1744
大衆	4764	1743
加工	4756	1740
尋找	4752	1739
買賣	4751	1739
安排	4749	1738
保育	4746	1737
工研院	4743	1736
一星期	4741	1735
期貨	4720	1727
多少	4718	1726
用品	4716	1726
價值	4713	1725
別人	4705	1722
行業	4703	1721
背景	4701	1720
去年	4694	1718
每一	4694	1718
有點	4688	1716
觀察	4686	1715
郵局	4680	1713
記得	4675	1711
研習	4667	1708
遺棄	4666	1707
一氣	4665	1707
儀器	4665	1707
證明	4652	1702
施工	4649	1701
也不	4648	1701
現場	4648	1701
提昇	4643	1699
印尼	4642	1699
要點	4633	1695
擴大	4633	1695
副教授	4633	1695
辦公室	4633	1695
改革	4632	1695
哈哈	4626	1693
豐富	4623	1692
筆記	4622	1691
因應	4620	1691
一條	4618	1690
欣賞	4607	1686
意義	4607	1686
森林	4604	1685
成員	4602	1684
大型	4601	1684
美麗	4601	1684
來信	4600	1683
專利	4599	1683
溝通	4594	1681
創作	4591	1680
此外	4587	1679
教會	4584	1677
本系	4575	1674
程度	4574	1674
降低	4570	1672
終於	4570	1672
忠於	4569	1672
都市	4565	1670
預防	4560	1669
擔任	4559	1668
附近	4557	1668
練習	4555	1667
公園	4548	1664
觀念	4544	1663
代號	4538	1661
營建	4538	1661
特殊教育	4535	1660
留學	4533	1659
性別	4529	1657
有沒有	4526	1656
人生	4523	1655
原文	4522	1655
地圖	4516	1653
愛情	4512	1651
進修	4509	1650
管制	4505	1649
刪除	4502	1647
二年	4500	1647
單元	4500	1647
提升	4499	1646
值得	4480	1639
地球	4470	1636
面積	4469	1635
四月	4463	1633
穩定	4461	1632
藥物	4453	1630
一元	4452	1629
一員	4452	1629
億元	4452	1629
亞太	4451	1629
議員	4451	1629
大名	4438	1624
法國	4426	1620
法令	4421	1618
中央日報	4418	1617
供應	4414	1615
我也	4411	1614
角色	4403	1611
隨着	4403	1611
一圓	4400	1610
新檔	4400	1610
譯員	4400	1610
短打	4394	1608
傳輸	4390	1606
著作	4381	1603
指定	4378	1602
中時晚報	4376	1601
國內外	4373	1600
測驗	4372	1600
金屬	4370	1599
若有	4367	1598
專輯	4365	1597
思考	4362	1596
通常	4356	1594
存在	4354	1593
排行榜	4347	1591
市立	4346	1590
指教	4346	1590
視力	4345	1590
勢力	4345	1590
勢利	4345	1590
現有	4342	1589
理念	4336	1587
日曆	4335	1586
日立	4334	1586
態度	4333	1586
至少	4321	1581
夢想	4320	1581
變成	4320	1581
招生	4319	1580
資金	4319	1580
台灣大學	4310	1577
基隆	4308	1576
叢書	4308	1576
條例	4302	1574
一路	4301	1574
新黨	4300	1574
即將	4295	1572
營運	4278	1565
出來	4273	1564
臨牀	4273	1564
不少	4272	1563
博物館	4272	1563
主機	4271	1563
授權	4271	1563
縣立	4269	1562
食物	4267	1561
實物	4266	1561
實務	4266	1561
按鍵	4264	1560
而是	4263	1560
案件	4263	1560
期待	4260	1559
微軟	4254	1557
進一步	4252	1556
城市	4247	1554
十五	4246	1554
程式	4246	1554
成事	4245	1553
乘勢	4245	1553
復興	4243	1553
門診	4237	1550
專線	4235	1550
省立	4232	1549
解釋	4232	1549
省力	4231	1548
院長	4231	1548
演出	4222	1545
觀點	4215	1542
絕對	4205	1539
一月	4204	1538
當地	4204	1538
自我	4203	1538
按件	4200	1537
暗箭	4200	1537
他們的	4199	1537
責任	4198	1536
十九	4196	1535
發言人	4194	1535
用途	4191	1534
清楚	4190	1533
技術學院	4187	1532
信用卡	4181	1530
本人	4178	1529
我在	4178	1529
我再	4177	1529
學歷	4176	1528
逐漸	4168	1525
他人	4163	1523
小說	4161	1523
英語	4159	1522
之外	4158	1522
儲存	4157	1521
人口	4156	1521
分公司	4156	1521
不但	4155	1520
左右	4154	1520
澳洲	4150	1519
技巧	4143	1516
中山	4133	1512
彰化	4130	1511
本年度	4122	1508
十八	4120	1508
民俗	4115	1506
不是	4114	1505
效率	4114	1505
昨天	4102	1501
正在	4098	1500
入學	4094	1498
財政部	4090	1497
部門	4086	1495
硬碟	4086	1495
批評	4084	1494
學分	4082	1494
民主	4077	1492
在於	4072	1490
將會	4070	1489
請教	4070	1489
心靈	4068	1489
第五	4065	1488
家長	4064	1487
專科	4061	1486
十一	4059	1485
立即	4057	1485
變更	4057	1485
笑話	4055	1484
運作	4055	1484
台東縣	4053	1483
幾乎	4051	1482
種類	4046	1481
屏東	4042	1479
包裝	4040	1478
館藏	4040	1478
只能	4024	1473
尚未	4021	1471
上位	4020	1471
上尉	4020	1471
規則	4020	1471
關心	4020	1471
展望	4018	1470
名字	4014	1469
短期	4014	1469
返回	4011	1468
宗旨	4009	1467
輕鬆	4007	1466
大量	4005	1466
不適	4000	1464
不事	3999	1463
輸出	3998	1463
概念	3997	1463
不斷	3989	1460
物質	3987	1459
重視	3981	1457
專長	3972	1453
二月	3959	1449
十四	3957	1448
首頁	3953	1447
守夜	3952	1446
感染	3952	1446
彩色	3950	1445
醫學院	3945	1444
建國	3942	1443
導致	3938	1441
倒置	3937	1441
防治	3936	1440
百貨	3934	1440
原來	3932	1439
模擬	3928	1437
交換	3927	1437
光電	3926	1437
共有	3926	1437
收盤	3926	1437
顏色	3918	1434
規範	3917	1433
心中	3915	1433
列印	3908	1430
後來	3908	1430
男人	3906	1429
媽媽	3902	1428
首夜	3900	1427
家族	3900	1427
徐福	3900	1427
你是	3896	1426
或許	3896	1426
留下	3888	1423
更是	3885	1422
以來	3881	1420
它的	3881	1420
良好	3881	1420
排行	3881	1420
此時	3879	1419
保證	3879	1419
咖啡	3878	1419
固定	3878	1419
宗教	3876	1418
特教	3876	1418
一份	3871	1417
邀請	3859	1412
臺北市	3857	1411
地理	3856	1411
外銷	3840	1405
纖維	3836	1404
隨時	3835	1403
人文	3833	1403
航運	3833	1403
那裏	3832	1402
經歷	3821	1398
作用	3820	1398
小朋友	3819	1398
國民中學	3819	1398
北京	3815	1396
美術	3811	1395
第七	3811	1395
佛教	3805	1392
達成	3804	1392
月刊	3803	1392
定要	3799	1390
許可	3796	1389
虛擬	3795	1389
即使	3794	1388
垃圾	3793	1388
或者	3790	1387
中學	3788	1386
成功大學	3788	1386
明顯	3786	1385
細胞	3783	1384
晚上	3780	1383
定期	3776	1382
最好	3774	1381
也許	3771	1380
一覽表	3771	1380
實在	3770	1380
專欄	3769	1379
保障	3767	1378
三個	3765	1378
佈告欄	3765	1378
回收	3759	1376
內銷	3756	1374
內政部	3749	1372
國科會	3748	1372
原本	3744	1370
機器	3742	1369
小孩	3741	1369
比例	3740	1369
唯一	3737	1367
等等	3735	1367
重大	3734	1366
展覽	3732	1366
利率	3730	1365
公布	3722	1362
父母	3719	1361
本以	3713	1359
好的	3709	1357
損失	3708	1357
專門	3707	1357
南路	3703	1355
營養	3703	1355
各級	3701	1354
相對	3697	1353
